Time: 1616655917, System 1, Ping: 332
Time: 1616655927, System 1, Ping: 404
Time: 1616655938, System 1, Ping: 478
Time: 1616655949, System 1, Ping: 1521
Time: 1616655958, System 1, Ping: 388
Time: 1616655968, System 1, Ping: 887
Time: 1616655979, System 1, Ping: 1294
Time: 1616655988, System 1, Ping: 909
Time: 1616655999, System 1, Ping: 1211
Time: 1616656009, System 1, Ping: 1208
Time: 1616656019, System 1, Ping: 1050
Time: 1616656029, System 1, Ping: 941
Time: 1616656039, System 1, Ping: 1147
Time: 1616656049, System 1, Ping: 1057
Time: 1616656059, System 1, Ping: 1244
Time: 1616656069, System 1, Ping: 652
Time: 1616656079, System 1, Ping: 667
Time: 1616656090, System 1, Ping: 1275
Time: 1616656100, System 1, Ping: 973
Time: 1616656110, System 1, Ping: 1185
Time: 1616656120, System 1, Ping: 862
Time: 1616656130, System 1, Ping: 962
Time: 1616656140, System 1, Ping: 810
Time: 1616656151, System 1, Ping: 1402
Time: 1616656160, System 1, Ping: 541
Time: 1616656171, System 1, Ping: 1196
Time: 1616656181, System 1, Ping: 845
Time: 1616656191, System 1, Ping: 641
Time: 1616656201, System 1, Ping: 1010
Time: 1616656211, System 1, Ping: 976
Time: 1616656221, System 1, Ping: 1015
Time: 1616656231, System 1, Ping: 776
Time: 1616656241, System 1, Ping: 807
Time: 1616656252, System 1, Ping: 1125
Time: 1616656261, System 1, Ping: 727
Time: 1616656272, System 1, Ping: 500
Time: 1616656282, System 1, Ping: 837
Time: 1616656292, System 1, Ping: 914
Time: 1616656302, System 1, Ping: 827
Time: 1616656312, System 1, Ping: 721
Time: 1616656322, System 1, Ping: 756
Time: 1616656333, System 1, Ping: 1054
Time: 1616656343, System 1, Ping: 599
Time: 1616656353, System 1, Ping: 710
Time: 1616656363, System 1, Ping: 616
Time: 1616656374, System 1, Ping: 1085
Time: 1616656384, System 1, Ping: 1181
Time: 1616656394, System 1, Ping: 978
Time: 1616656404, System 1, Ping: 764
Time: 1616656415, System 1, Ping: 1297
Time: 1616656425, System 1, Ping: 1416
Time: 1616656435, System 1, Ping: 1012
Time: 1616656444, System 1, Ping: 593
Time: 1616656455, System 1, Ping: 1234
Time: 1616656465, System 1, Ping: 768
Time: 1616656475, System 1, Ping: 1233
Time: 1616656485, System 1, Ping: 678
Time: 1616656496, System 1, Ping: 1373
Time: 1616656505, System 1, Ping: 871
Time: 1616656515, System 1, Ping: 950
Time: 1616656525, System 1, Ping: 196
Time: 1616656536, System 1, Ping: 554
Time: 1616656552, System 1, ERROR: Ping timed out.
Time: 1616656562, System 1, ERROR: Ping timed out.
Time: 1616656572, System 1, ERROR: Ping timed out.
Time: 1616656582, System 1, ERROR: Ping timed out.
Time: 1616656592, System 1, ERROR: Ping timed out.
Time: 1616656603, System 1, ERROR: Ping timed out.
Time: 1616656613, System 1, ERROR: Ping timed out.
Time: 1616656623, System 1, ERROR: Ping timed out.
Time: 1616656633, System 1, ERROR: Ping timed out.
Time: 1616656643, System 1, ERROR: Ping timed out.
Time: 1616656653, System 1, ERROR: Ping timed out.
