sysID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,roll,pitch,yaw,gps0_lat,gps0_lon,gps0_alt,gps1_lat,gps1_lon,gps1_alt,gps2_lat,gps2_lon,gps2_alt,gps3_lat,gps3_lon,gps3_alt,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,qt1,qt2,qt3,qt4,epoch,magVec1,magVec2,magVec3
2,-15203.5063343,-20837.9634777,-15531.6042184,4.94266964537,4.85643193416,6.12152998386,nan,nan,inf,0.0,[],[],[],-37.818966333333336,144.9486985,1186.0,-37.8192605,144.9509745,282.3,-35.84156328,143.1362385,63.2729524,-35.96631476,143.3707744,64.82851725,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,1.0,0.0,1616657706.8716493,0.0,0.0,0.0
2,-15203.2790699,-20837.585305,-15531.5709587,5.28499122457,5.60844515165,6.30523498604,nan,nan,inf,0.0,[],[],[],-37.81896533333333,144.94869783333334,1184.2,-37.8192605,144.9509745,282.3,-35.84156328,143.1362385,63.2729524,-35.96631476,143.3707744,64.82851725,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,1.0,0.0,1616657706.9114997,0.0,0.0,0.0
2,-15203.0683087,-20837.2324783,-15531.5328745,5.55797043916,6.25032793556,6.50477579474,nan,nan,inf,0.0,[],[],[],-37.81896533333333,144.94869783333334,1184.2,-37.8192605,144.9509745,282.3,-35.84156328,143.1362385,63.2729524,-35.96631476,143.3707744,64.82851725,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,1.0,0.0,1616657706.9517307,0.0,0.0,0.0
2,-15202.8734639,-20836.9043128,-15531.4899084,5.76833652681,6.79051617242,6.71927583685,nan,nan,inf,0.0,[],[],[],-37.81896533333333,144.94869783333334,1184.2,-37.8192605,144.9509745,282.3,-35.84156328,143.1362385,63.2729524,-35.96631476,143.3707744,64.82851725,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,1.0,0.0,1616657706.9907238,0.0,0.0,0.0
2,-15202.6938925,-20836.6000248,-15531.4420365,5.92253816117,7.23727064603,6.94776848863,nan,nan,inf,0.0,[],[],[],-37.81896533333333,144.94869783333334,1184.2,-37.8192605,144.9509745,282.3,-35.84156328,143.1362385,63.2729524,-35.96631476,143.3707744,64.82851725,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,1.0,0.0,1616657707.0281894,0.0,0.0,0.0
2,-15202.5289096,-20836.3187481,-15531.3892666,6.02669075588,7.59861834155,7.18921989621,nan,nan,-inf,0.0,[],[],[],-37.81896533333333,144.94869783333334,1184.2,-37.8192605,144.9509745,282.3,-35.84156328,143.1362385,63.2729524,-35.96631476,143.3707744,64.82851725,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,1.0,0.0,1616657707.0653987,0.0,0.0,0.0
2,-15202.3778019,-20836.0595511,-15531.3316354,6.08654143869,7.88230166737,7.44255053558,nan,nan,-inf,0.0,[],[],[],-37.81896533333333,144.94869783333334,1184.2,-37.8192605,144.9509745,282.3,-35.84156328,143.1362385,63.2729524,-35.96631476,143.3707744,64.82851725,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,1.0,0.0,1616657707.1032658,0.0,0.0,0.0
2,-15202.2398389,-20835.8214515,-15531.2692058,6.10744836384,8.09573626822,7.70665507364,nan,nan,-inf,0.0,[],[],[],-37.81896533333333,144.94869783333334,1184.2,-37.8192605,144.9509745,282.3,-35.84156328,143.1362385,63.2729524,-35.96631476,143.3707744,64.82851725,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,1.0,0.0,1616657707.148959,0.0,0.0,0.0
2,-15202.1142827,-20835.6034318,-15531.2020646,6.09437150291,8.24597761422,7.98042023005,nan,nan,-inf,0.0,[],[],[],-37.81896533333333,144.94869783333334,1184.2,-37.8192605,144.9509745,282.3,-35.84156328,143.1362385,63.2729524,-35.96631476,143.3707744,64.82851725,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,1.0,0.0,1616657707.1909983,0.0,0.0,0.0
2,-15202.0003963,-20835.4044523,-15531.1303186,6.05187249438,8.33969616465,8.26274046371,nan,nan,-inf,0.0,[],[],[],-37.81896533333333,144.94869783333334,1184.2,-37.8192605,144.9509745,282.3,-35.84156328,143.1362385,63.2729524,-35.96631476,143.3707744,64.82851725,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,1.0,0.0,1616657707.2386806,0.0,0.0,0.0
