epoch, lon, lat, alt, ascent_rate 
1616656965.0,144.95149183333334,-37.8202825,141.1,0.9555555555555549
1616656966.0,144.951487,-37.8202815,141.8,0.9222222222222235
1616656967.0,144.951485,-37.820285,142.4,0.8555555555555574
1616656968.0,144.95147683333334,-37.82028066666667,143.4,0.8444444444444438
1616656969.0,144.95146916666667,-37.82027733333334,144.8,0.8555555555555574
1616656970.0,144.95145816666667,-37.820273,146.5,0.9222222222222235
1616656971.0,144.951446,-37.8202695,148.4,1.0444444444444452
1616656972.0,144.95143616666667,-37.8202675,150.1,1.1777777777777771
1616656973.0,144.9514275,-37.8202685,151.5,1.2333333333333327
1616656974.0,144.951419,-37.8202705,153.0,1.3222222222222229
1616656975.0,144.95141166666667,-37.820272,154.2,1.3777777777777753
1616656976.0,144.95140266666667,-37.820271166666664,155.1,1.4111111111111099
1616656977.0,144.951392,-37.8202695,155.7,1.3666666666666647
1616656978.0,144.951381,-37.820266333333336,156.1,1.2555555555555538
1616656979.0,144.95136916666667,-37.820262666666665,156.1,1.066666666666666
1616656980.0,144.95136233333332,-37.820262666666665,156.5,0.8999999999999994
1616656981.0,144.95135983333333,-37.8202585,156.5,0.7111111111111117
1616656982.0,144.95135566666667,-37.820252333333336,156.6,0.566666666666666
1616656983.0,144.9513515,-37.82024583333333,157.0,0.4444444444444444
1616656984.0,144.95134716666666,-37.82023866666667,157.7,0.3888888888888889
1616656985.0,144.95134416666667,-37.820233333333334,158.2,0.34444444444444383
1616656986.0,144.95134366666667,-37.82023983333333,159.3,0.4000000000000025
1616656987.0,144.9513405,-37.8202425,160.6,0.5
1616656988.0,144.95133016666668,-37.82024966666667,161.7,0.6222222222222216
1616656989.0,144.95132383333333,-37.8202465,161.9,0.6000000000000006
1616656990.0,144.95131733333332,-37.820244,162.0,0.6111111111111112
1616656991.0,144.9513055,-37.820243,162.4,0.6444444444444457
1616656992.0,144.9513015,-37.82023733333333,161.8,0.5333333333333345
1616656993.0,144.9513,-37.82023433333333,161.7,0.4444444444444444
1616656994.0,144.9512965,-37.82022966666667,161.3,0.344444444444447
1616656995.0,144.95129216666666,-37.8202275,161.7,0.26666666666666416
1616656996.0,144.95127833333333,-37.82022583333333,162.9,0.2555555555555568
1616656997.0,144.95127166666666,-37.8202225,164.1,0.2666666666666673
1616656998.0,144.95126483333334,-37.82022116666667,164.7,0.31111111111110923
1616656999.0,144.95126083333332,-37.82021683333333,165.3,0.3666666666666679
1616657000.0,144.95125866666666,-37.82021016666667,165.5,0.34444444444444383
1616657001.0,144.95125783333333,-37.820204,165.9,0.45555555555555494
1616657002.0,144.951252,-37.82020466666667,166.4,0.5222222222222241
