system_id,m_epoch,r_acc_x,r_acc_y,r_acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,q_w,q_i,q_j,q_k,roll,pitch,yaw
1,1626619731829,2.29708,-0.0555709,9.53584,-0.00903308,0.00184029,-0.00194162,-0.985165,0.182207,0.0605654,0.73837,-0.0752642,-0.0878571,-0.664399,0.329597,-13.2825,-84.0013
1,1626619732030,2.30118,-0.0515895,9.55082,0.0118226,0.0136465,0.00377297,-0.995021,0.182367,0.0596396,0.738144,-0.0753745,-0.0876012,-0.664672,0.304797,-13.269,-84.0392
1,1626619732230,2.32273,-0.0577929,9.53222,-0.0154793,0.00182092,-0.0101134,-0.989859,0.187218,0.0601483,0.737612,-0.075622,-0.087522,-0.665244,0.287733,-13.2811,-84.1274
1,1626619732430,2.31902,-0.106142,9.54755,0.00656247,0.00828654,0.00611991,-0.997863,0.180204,0.0642694,0.737258,-0.0754956,-0.0875266,-0.66565,0.306381,-13.2716,-84.1917
1,1626619732631,2.30824,-0.06026,9.5509,-0.00410378,0.00692904,0.00466704,-0.990183,0.174629,0.0551497,0.736938,-0.0755778,-0.0877931,-0.66596,0.326229,-13.3006,-84.2453
1,1626619732831,2.27753,-0.0642659,9.53424,-0.00685304,-0.00800639,0.000649691,-0.99021,0.179822,0.0600796,0.736712,-0.0758392,-0.0877216,-0.66619,0.302359,-13.3146,-84.2798
1,1626619733032,2.33058,-0.0782511,9.53631,0.00428408,-0.0013873,0.00868291,-0.992048,0.1844,0.0525678,0.736366,-0.0760104,-0.0875748,-0.666573,0.283028,-13.3151,-84.3371
1,1626619733232,2.31283,-0.0970173,9.52427,-0.00118762,0.00714809,-0.00406504,-0.992647,0.174669,0.0549183,0.735987,-0.0760449,-0.0874266,-0.667006,0.276259,-13.305,-84.4026
1,1626619733432,2.33246,-0.0775476,9.53296,-0.0209704,0.0188813,-0.00154972,-0.982818,0.179702,0.060774,0.735509,-0.0762341,-0.0872438,-0.667535,0.255221,-13.3038,-84.4825
1,1626619733633,2.30886,-0.0844505,9.55351,0.0130102,-0.00213981,-0.00870675,-0.982323,0.184371,0.0559357,0.735161,-0.0763725,-0.087226,-0.667905,0.248771,-13.3129,-84.5402
1,1626619733833,2.33565,-0.0944537,9.56487,0.00989586,-0.016284,-0.0189871,-0.986741,0.186524,0.0481694,0.73483,-0.076424,-0.0871185,-0.668277,0.242644,-13.3076,-84.5969
1,1626619734033,2.31134,-0.0898548,9.54442,0.00349134,-0.002186,0.00115037,-0.995021,0.182367,0.0596396,0.734458,-0.0767049,-0.0869878,-0.668671,0.215459,-13.3182,-84.6564
1,1626619734234,2.32517,-0.0882134,9.56625,0.018464,0.00746697,-0.000162423,-0.992075,0.189593,0.0574977,0.734224,-0.0767517,-0.0868372,-0.668943,0.204438,-13.3089,-84.6964
1,1626619734434,2.30015,-0.0700453,9.53452,0.0167653,0.00507534,-0.00965148,-0.985034,0.182076,0.0581234,0.733984,-0.07687,-0.0869232,-0.66918,0.205609,-13.3254,-84.7355
1,1626619734635,2.30278,-0.0782288,9.5501,0.0106618,0.0176042,-0.0162289,-0.979625,0.189262,0.0562129,0.73363,-0.077039,-0.087104,-0.669526,0.212024,-13.3538,-84.7932
1,1626619734835,2.30157,-0.0501091,9.53241,-0.0020355,-0.00537932,-0.0178427,-0.987093,0.179127,0.0481008,0.733294,-0.0771555,-0.0871255,-0.669877,0.210328,-13.3646,-84.8491
1,1626619735036,2.30197,-0.0660245,9.54849,-0.00498146,-0.000661612,-0.0143662,-1.00241,0.182487,0.0589452,0.73314,-0.0773978,-0.0868702,-0.670051,0.172429,-13.3617,-84.8715
1,1626619735236,2.32514,-0.0981951,9.55335,-0.0199765,0.0218257,-0.0150085,-0.987016,0.189382,0.0555185,0.732856,-0.0774739,-0.0867794,-0.670365,0.164495,-13.3598,-84.9195
1,1626619735436,2.30649,-0.0930551,9.55164,-0.0175029,-0.00165701,0.00819266,-0.98467,0.186876,0.0557271,0.732547,-0.0777447,-0.0869167,-0.670653,0.157767,-13.3925,-84.9673
1,1626619735637,2.31214,-0.0829613,9.55548,0.00918955,0.000521541,-0.00986606,-0.992192,0.187127,0.0574748,0.732247,-0.077958,-0.0869061,-0.670958,0.144398,-13.4082,-85.015
1,1626619735837,2.31168,-0.0882555,9.52218,0.0119537,-0.0134856,0.00160784,-0.984642,0.181684,0.0507972,0.731992,-0.078143,-0.0868696,-0.671219,0.130586,-13.4194,-85.0555
1,1626619736038,2.32012,-0.0857507,9.54828,-0.0121385,-0.0120118,-0.0226468,-0.985048,0.184673,0.0605883,0.731624,-0.0784465,-0.0865046,-0.671632,0.083147,-13.412,-85.1137
